Player,Agents,Rnd,R2.0,ACS,K:D,CL,KMax,K,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
"nAts
																			TL",,111,0.88,186,0.88,2/17,18,71,nAts,TL,0.74,121.2,0.64,0.2,0.08,0.05,0.28
"Rarga
																			XLG",,75,0.86,217,0.88,2/6,20,57,Rarga,XLG,0.64,136.1,0.76,0.16,0.2,0.25,0.41
"RieNs
																			TH",,81,0.85,191.5,0.84,0/7,17,51,RieNs,TH,0.63,125,0.63,0.25,0.09,0.12,0.28
"benjyfishy
																			TH",,81,0.85,178.8,0.85,2/12,18,51,benjyfishy,TH,0.62,119.9,0.63,0.11,0.12,0.06,0.3
"Jemkin
																			RRQ",,100,0.85,196.8,0.88,0/5,19,69,Jemkin,RRQ,0.66,138.2,0.69,0.14,0.21,0.16,0.33
"Boaster
																			FNC",,419,0.84,143.4,0.76,3/35,21,199,Boaster,FNC,0.72,94.4,0.47,0.36,0.08,0.08,0.25
"Knight
																			BLG",,179,0.83,149.1,0.81,1/15,18,92,Knight,BLG,0.69,105,0.51,0.23,0.06,0.09,0.26
"Serial
																			TL",(+1),142,0.83,155.2,0.84,6/19,20,81,Serial,TL,0.66,103.1,0.57,0.16,0.09,0.07,0.45
"Boo
																			TH",,81,0.76,139.5,0.7,1/17,14,39,Boo,TH,0.62,86.7,0.48,0.43,0.02,0.1,0.38
"crazyguy
																			RRQ",,100,0.75,144.2,0.65,2/22,11,47,crazyguy,RRQ,0.64,90.7,0.47,0.34,0.11,0.14,0.25
"MiniBoo
																			TH",,81,0.74,167.5,0.81,0/8,19,52,MiniBoo,TH,0.6,105.6,0.64,0.09,0.12,0.11,0.31
"xenom
																			MIBR",,71,0.71,148.3,0.65,0/12,15,39,xenom,MIBR,0.63,101.7,0.55,0.15,0.06,0.14,0.35
"cortezia
																			MIBR",,71,0.69,164,0.66,0/10,12,39,cortezia,MIBR,0.59,115.2,0.55,0.17,0.1,0.14,0.33
"Viva
																			XLG",,75,0.67,147,0.51,0/16,11,33,Viva,XLG,0.59,107.6,0.44,0.28,0.05,0.03,0.27
"coconut
																			XLG",,75,0.65,128.3,0.57,3/13,12,34,coconut,XLG,0.65,82.6,0.45,0.29,0.01,0.08,0.26
"Midi
																			XLG",,75,0.59,132,0.58,0/5,14,36,Midi,XLG,0.61,88.8,0.48,0.19,0.04,0.03,0.34
"aspas
																			MIBR",,71,0.53,129.8,0.53,1/5,10,31,aspas,MIBR,0.59,88.8,0.44,0.17,0.07,0.21,0.18
"artzin
																			MIBR",,71,0.51,121.5,0.52,0/5,12,31,artzin,MIBR,0.66,86.3,0.44,0.25,0.04,0.15,0.26
"tarik
																			tarik",,20,,,0.94,,17,17,tarik,tarik,,,0.85,0.3,,,
"Kyedae
																			tarik",,20,,,1,,15,15,Kyedae,tarik,,,0.75,0.4,,,
"joshseki
																			tarik",,20,,,0.63,,10,10,joshseki,tarik,,,0.5,0.35,,,
"Vinnie
																			tarik",,20,,,0.87,,13,13,Vinnie,tarik,,,0.65,0.2,,,
"Yvonnie
																			tarik",,20,,,0.4,,6,6,Yvonnie,tarik,,,0.3,0.35,,,
"Disguised Toast
																			Team",,20,,,1,,12,12,Disguised Toast,Team,,,0.6,0.25,,,
"Jacob
																			Team",,20,,,0.46,,6,6,Jacob,Team,,,0.3,0.25,,,
"meL
																			Team",,20,,,2.56,,23,23,meL,Team,,,1.15,0.55,,,
"Sidsity
																			Team",,20,,,1.25,,15,15,Sidsity,Team,,,0.75,0.2,,,
"TenZ
																			Team",,20,,,1.71,,24,24,TenZ,Team,,,1.2,0.2,,,
